var_name,label_mn,label_en,type,waves_present,source_types,source_files,n_obs,n_missing,n_unique,category
q0323,3.23 2-4 НАСТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,3.23 2-4 ageТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,7468,2,demographics
q0325,3.25 5-17 НАСТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,3.25 5-17 ageТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,7468,2,demographics
q0327,3.27 18 БА ТҮҮНЭЭС ДЭЭШ НАСТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,3.27 18 БА ТҮҮНЭЭС ДЭЭШ ageТАЙ ЭСЭХИЙГ ШАЛГАНА УУ.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,7468,2,demographics
q0953,Does the household use a sewage/drainage system?,Does the household use a sewage/drainage system?,haven_labelled/vctrs_vctr/double,2024,hhold,01_hhold.dta,15513,0,5,demographics
q0316,"3.16 Танайх сүүлийн 12 сард үр тариа, хүнсний ногоо, жимс тариалсан уу? Малын тэ","3.16 Танайх сүүлийн 12 сард үр тариа, хүнсний ногоо, жимс тариалсан уу? Малын тэ",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024","hhold,indiv",01_hhold (14).dta | 02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,243240,15660,2,economic
q0944a,"A. Шахмал, шингэн саван","A. Шахмал, шингэн саван",character,2022,hhold,01_hhold (13).dta,22995,0,3,economic
q0944b,B. Ариутгагч/Угаалгын нунтаг (нунтаг/шингэн/шахмал),B. Ариутгагч/Угаалгын нунтаг (нунтаг/шингэн/шахмал),character,2022,hhold,01_hhold (13).dta,22995,0,2,economic
q0202,2.02 ХАРИУЛЖ БАЙГАА ХҮНИЙ ХУВИЙН ДУГААРЫГ  БИЧНЭ ҮҮ,2.02 ХАРИУЛЖ БАЙГАА ХҮНИЙ ХУВИЙН ДУГААРЫГ  БИЧНЭ ҮҮ,haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,218553,9,education
q0203,2.03 Хариулж байгаа хүний хувийн дугаар бичнэ үү.,2.03 Хариулж байгаа хүний хувийн дугаар бичнэ үү.,haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,230182,8,education
q0204,2.04 Та сүүлийн 12 сард наад зах нь 1 цаг орлого олох зорилгоор ямар нэг цалин х,2.04 Та сүүлийн 12 сард наад зах нь 1 цаг income олох зорилгоор ямар нэг wage х,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,233284,10,education
q0205,2.05 [НЭР]-ын/ийн сүүлийн 12 сард эрхэлсэн үндсэн ажил юу вэ?,2.05 [НЭР]-ын/ийн сүүлийн 12 сард эрхэлсэн үндсэн work юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,239520,13,education
q0206,2.06 Та ямар ажил эрхэлсэн бэ?,2.06 Та ямар work эрхэлсэн бэ?,haven_labelled/vctrs_vctr/double,2023,indiv,02_indiv (15).dta,30284,19561,43,education
q0206_1,2.06 Өрхөөс төлсөн цэцэрлэгийн төлбөр,2.06 householdөөс төлсөн цэцэрлэгийн төлбөр,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219959,108,education
q0206_2,"2.06 Бичгийн хэрэгсэл, сургалтын материал","2.06 Бичгийн хэрэгсэл, сургалтын материал",numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219959,115,education
q0206_3,"2.06 Цэцэрлэг, яслийн хоолны мөнгө","2.06 Цэцэрлэг, ethnicityлийн хоолны мөнгө",numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219959,48,education
q0206_4,2.06 Бусад,2.06 Бусад,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219959,90,education
q0206_5,2.06 Нийт,2.06 Нийт,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,219959,275,education
q0208,2.08 [НЭР] сүүлийн 12 сард ажилласан үндсэн ажлаасаа мөнгөн ба мөнгөн бус хэлбэр,2.08 [НЭР] сүүлийн 12 сард workласан үндсэн ажлаасаа мөнгөн ба мөнгөн бус хэлбэр,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,51745,2,education
q0209,2.09 ХАРИУЛЖ БАЙГАА ХҮНИЙ ХУВИЙН ДУГААРЫГ БИЧНЭ ҮҮ.,2.09 ХАРИУЛЖ БАЙГАА ХҮНИЙ ХУВИЙН ДУГААРЫГ БИЧНЭ ҮҮ.,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,130530,10,education
q0209a,2.09 А. Сүүлийн сард,2.09 А. Сүүлийн сард,numeric,2023,indiv,02_indiv (15).dta,30284,23002,384,education
q0209b,2.09 Б. Сүүлийн 12 сард,2.09 Б. Сүүлийн 12 сард,numeric,2023,indiv,02_indiv (15).dta,30284,23002,817,education
q0209c,"2.09 В. Сүүлийн 12 сарын нэмэгдэл хөлс, шагнал, урамшуулал","2.09 В. Сүүлийн 12 сарын нэмэгдэл хөлс, шагнал, урамшуулал",numeric,2023,indiv,02_indiv (15).dta,30284,23002,174,education
q0210,2.10 [НЭР] сүүлийн 12 сард үндсэн ажлаасаа гадна нэмэлт/давхар цалинтай ажил/орл,2.10 [НЭР] сүүлийн 12 сард үндсэн ажлаасаа гадна нэмэлт/давхар wageтай work/орл,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,51753,10,education
q0211,"2.11 [НЭР] Монгол хэл эсвэл бусад хэл дээр энгийн өгүүлбэр уншиж, бичиж чадах уу","2.11 [НЭР] Монгол хэл эсвэл бусад хэл дээр энгийн өгүүлбэр уншиж, бичиж чадах уу",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,197119,2,education
q0212,"2.12 [НЭР] энгийн нэмэх, хасах тооцооллыг хийж чадах уу?","2.12 [НЭР] энгийн нэмэх, хасах тооцооллыг хийж чадах уу?",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,167241,2,education
q0212a,2.12 А. Сүүлийн сард,2.12 А. Сүүлийн сард,numeric,2023,indiv,02_indiv (15).dta,30284,29974,38,education
q0212b,2.12 Б. Сүүлийн 12 сард,2.12 Б. Сүүлийн 12 сард,numeric,2023,indiv,02_indiv (15).dta,30284,29974,103,education
q0212c,"2.12 В. Сүүлийн 12 сарын нэмэгдэл хөлс, шагнал, урамшуулал","2.12 В. Сүүлийн 12 сарын нэмэгдэл хөлс, шагнал, урамшуулал",numeric,2023,indiv,02_indiv (15).dta,30284,29974,5,education
q0213,2.13 [НЭР] нийт хэдэн жил сургуульд  суралцсан бэ?,2.13 [НЭР] нийт хэдэн жил schoolд  суралцсан бэ?,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,28,education
q0214,2.14 [НЭР] одоо сургуульд сурдаг уу?,2.14 [НЭР] одоо schoolд сурдаг уу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,4,education
q0215,2.15 [НЭР] ерөнхий боловсролын сургуулиас завсардсан уу?,2.15 [НЭР] ерөнхий educationын сургуулиас завсардсан уу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,221837,2,education
q0216,2.16 [НЭР] сургуулийн хэддүгээр ангиас гарсан бэ?,2.16 [НЭР] сургуулийн хэддүгээр gradeас гарсан бэ?,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,222257,12,education
q0217,2.17 [НЭР] яагаад сургуулиас гарсан бэ?,2.17 [НЭР] яагаад сургуулиас гарсан бэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,222257,13,education
q0218,2.18 [НЭР] яагаад сургуульд суралцаагүй вэ?,2.18 [НЭР] яагаад schoolд суралцаагүй вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,225611,13,education
q0219a,2.19 [НЭР] одоо ямар сургуульд сурч байна вэ?,2.19 [НЭР] одоо ямар schoolд сурч байна вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,6,education
q0219b,"2.19 [НЭР] одоо хэддүгээр анги, курсэд сурч байна вэ?","2.19 [НЭР] одоо хэддүгээр grade, курсэд сурч байна вэ?",numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,13,education
q0220,2.20 [НЭР]-ын/ийн сурдаг сургуулийн өмчийн хэлбэр ямар вэ?,2.20 [НЭР]-ын/ийн сурдаг сургуулийн өмчийн хэлбэр ямар вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,3,education
q0221,2.21 [НЭР]-ын/ийн суралцдаг сургууль хаана байдаг вэ?,2.21 [НЭР]-ын/ийн суралцдаг school хаана байдаг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,4,education
q0222,2.22 [НЭР] суралцах хугацаандаа хаана амьдардаг вэ?,2.22 [НЭР] суралцах хугацаандаа хаана амьдардаг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172540,5,education
q0223,2.23 [НЭР] сургууль руу явахдаа ямар тээврийн хэрэгслээр явдаг вэ?,2.23 [НЭР] school руу явахдаа ямар тээврийн хэрэгслээр явдаг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,8,education
q0224,2.24 [НЭР] сургалтын төлбөр төлдөг үү?,2.24 [НЭР] сургалтын төлбөр төлдөг үү?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,172539,2,education
q0225,2.25 [НЭР] сүүлийн 12 сард сургалтын төлбөрөө төлөхийн тулд зээл авсан уу?,2.25 [НЭР] сүүлийн 12 сард сургалтын төлбөрөө төлөхийн тулд зээл авсан уу?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,224991,2,education
q0226,2.26 [НЭР] хаанаас зээл авсан бэ?,2.26 [НЭР] хаанаас зээл авсан бэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,234144,7,education
q0227,2.27 [НЭР] сүүлийн 12 сард сургалтын төлбөрт зориулан нийт хэдэн төгрөгийн зээл,2.27 [НЭР] сүүлийн 12 сард сургалтын төлбөрт зориулан нийт хэдэн төгрөгийн зээл,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,234144,58,education
q0228,"2.28 [НЭР] сүүлийн 12 сард сургалтын төлбөртөө ямар нэг тусламж, хандив, хөнгөлө","2.28 [НЭР] сүүлийн 12 сард сургалтын төлбөртөө ямар нэг тусламж, хандив, хөнгөлө",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,224990,2,education
q0229,"2.29 [НЭР] хэнээс тусламж, хандив, хөнгөлөлт авсан бэ?","2.29 [НЭР] хэнээс тусламж, хандив, хөнгөлөлт авсан бэ?",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,233964,7,education
q0230,"2.30 [НЭР] сүүлийн 12 сард сургалтын төлбөрт зориулан хичнээн төгрөгийн тусламж,","2.30 [НЭР] сүүлийн 12 сард сургалтын төлбөрт зориулан хичнээн төгрөгийн тусламж,",numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,233965,75,education
q0231,2.31 [НЭР] сүүлийн 12 сард дор хаяж нэг долоо хоног ямар нэгэн сургалтад хамрагд,2.31 [НЭР] сүүлийн 12 сард дор хаяж нэг долоо хоног ямар нэгэн сургалтад хамрагд,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,2,education
q0232_1,2.32.1  Сууцны түрээс болон оюутны байрны хөлс,2.32.1  Сууцны түрээс болон оюутны байрны хөлс,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,32192,149,education
