wave,file_type,var_name,var_label,var_class
2020,hhold,q0925,9.25 Та сууцаа сард хэдэн төгрөгөөр түрээсэл,numeric
2020,hhold,q0926,9.26 Танай гэрийн халаалтын үндсэн эх үүсвэр,haven_labelled
2020,hhold,q0927,9.27 Танай өрхийн халаалтандаа ихэвчлэн хэрэ,haven_labelled
2020,hhold,q0928,9.28 Танай сууцны гэрэлтүүлгийн үндсэн эх үү,haven_labelled
2020,hhold,q0929,9.29 Танайх ундны усаа ихэвчлэн ямар эх үүсвэ,haven_labelled
2020,hhold,q0930,9.30 Танай усны эх үүсвэр хаана байдаг вэ?,haven_labelled
2020,hhold,q0931,9.31 Гэртээ ус авчрахад хэдэн минут зарцуулд,haven_labelled
2020,hhold,q0932,9.32 Танайх усаа хэр холоос авдаг вэ?,haven_labelled
2020,hhold,q0933,9.33 Танайх унд болон ахуйн хэрэглээндээ хон,numeric
2020,hhold,q0934,9.34 Танайх ямар бие засах газар ашигладаг вэ,haven_labelled
2020,hhold,q0935,9.35 Танайх бие засах газраа бусадтай хамтар,haven_labelled
2020,hhold,q0936,9.36 Бие засах газар чинь хаана байдаг вэ?,haven_labelled
2020,hhold,q0937,9.37 Танайх ахуйн бохир усаа яаж зайлуулдаг в,haven_labelled
2020,hhold,q0938,"9.38 Танайх хатуу хог, хаягдлаа яаж зайлуулда",haven_labelled
2020,hhold,q1001,10.01 Танайх харилцуур утастай юу?,haven_labelled
2020,hhold,q1002,10.02 Танайх гэртээ интернеттэй юу?,haven_labelled
2020,hhold,q1003,10.03 Танай өрхийн хэдэн гишүүд интернет ашиг,numeric
2020,hhold,q1004,10.04 Танай өрхийн хэдэн гишүүн гар утсаараа ,numeric
2020,hhold,q1005,10.05 Танай өрх болон өрхийн хэн нэг гишүүн га,haven_labelled
2020,hhold,q1006a,Өмчилсөн газар м2,numeric
2020,hhold,q1006b,Эзэмшдэг газар м2,numeric
2020,hhold,q1007a,"A Яаралтай тусламж, үйлчилгээ авах боломжто",numeric
2020,hhold,q1007b,Б Амбулаторийн үйлчилгээ авах боломжтой эс,numeric
2020,hhold,q1007c,В Эмнэлэгт хэвтэн эмчлүүлэх боломжтой эсэх,numeric
2020,hhold,q1007d,Г Эмчид үзүүлэх боломжтой эсэх,numeric
2020,hhold,q1007e,Д Шинжилгээний лаборатори байгаа эсэх,numeric
2020,hhold,q1007f,Е Рентген шинжилгээний үйлчилгээ байгаа эс,numeric
2020,hhold,q1007g,Ё Эрүүл мэндийн урьдчилан сэргийлэх үйлчил,numeric
2020,hhold,q1008,"10.08 Та болон танай өрхийн гишүүдэд архи, сог",haven_labelled
2020,hhold,q1009,10.09 Та болон танай өрхийн хэн нэгэн гишүүн с,haven_labelled
2020,hhold,q1010a,А Өдрийн цагаар,haven_labelled
2020,hhold,q1010b,Б Оройн цагаар,haven_labelled
2020,hhold,q1011,10.11 Таны амьдарч буй орчинд гэмт хэрэг/ дээр,haven_labelled
2020,hhold,q1012,10.12 Сүүлийн 30 хоногт танай гэр бүлийн хэн нэ,haven_labelled
2020,hhold,q1013a,A Үер,numeric
2020,hhold,q1013b,Б Ган гачиг,numeric
2020,hhold,q1013c,В Зуд,numeric
2020,hhold,q1013d,Г Газар хөдлөлт,numeric
2020,hhold,q1013e,Д Бичил уурхайн осол,numeric
2020,hhold,q1013f,Е Усны осол,numeric
2020,hhold,q1013g,Ё Тээврийн хэрэгслийн осол,numeric
2020,hhold,q1013h,Ж Гал түймэр,numeric
2020,hhold,q1013i,З Гоц халдварт өвчин (хүний),numeric
2020,hhold,q1013j,Л Гоц халдварт өвчин (малын),numeric
2020,hhold,visitor,Хоносон зочины тоо,numeric
2020,hhold,ndays,Хоносон өдрийн тоо-хүн/өдөр,numeric
2021,hhold,identif,group(identif),numeric
2021,hhold,hhsize_cover,9. Өрхийн ам бүлийн тоо,numeric
2021,hhold,hh_no,12. Өрхийн дугаар,numeric
2021,hhold,h15,15. Өрхийн түүврийн сонголт,haven_labelled
2021,hhold,q0547,"5.47 Сүүлийн 12 сард танай өрхийн гишүүд хувь хүн, хамаатан, найз нөхөд болон ту",haven_labelled
2021,hhold,q0601,6.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай өрх малтай юу?,haven_labelled
2021,hhold,q0607,"6.07 Сүүлийн 12 сард танай өрх ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд",haven_labelled
2021,hhold,q0615,6.15 Та болон танай өрхийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,haven_labelled
2021,hhold,q0616,6.16 Таны болон танай өрхийн тариалан эрхлэх газрын талбайн хэмжээ,numeric
2021,hhold,q0617,"6.17 Танайх сүүлийн 12 сард үр тариа, хүнсний ногоо, жимс тариалсан уу?",haven_labelled
2021,hhold,q0618,6.18 Сүүлийн 12 сард танай өрхийн гишүүдийн тариалсан газрын нийт хэмжээ,numeric
2021,hhold,q0701,"7.01 Сүүлийн 12 сард ХАА-н бус үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн үү?",haven_labelled
2021,hhold,q0702,"7.02 Хэдэн төрлийн үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн бэ?",numeric
2021,hhold,q0801,8.01 Та болон танай өрхийн гишүүд хадгаламжтай юу?,haven_labelled
2021,hhold,q0802,8.02 Сүүлийн 12 сард хадгаламжиндаа хэдэн төгрөг хийсэн бэ?,numeric
2021,hhold,q0803,8.03 Сүүлийн 12 сарын хугацаанд та болон танай өрхийн аль нэг гишүүн зээл авах з,haven_labelled
2021,hhold,q0804,8.04 Зээл авах шаардлага хангаагүйгээс зээлээ авч чадаагүй тохиолдол гарсан уу?,haven_labelled
2021,hhold,q0805,8.05 Нийт хэдэн тохиолдол гарсан бэ?,numeric
2021,hhold,q0806,8.06 Сүүлийн 12 сард танай өрх болон өрхийн гишүүдээс ямар нэг төрлийн зээл авса,haven_labelled
2021,hhold,q0807,8.07 Танай өрх сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,numeric
2021,hhold,q0901,9.01 Танайх өөрийн эзэмшлийн сууцтай юу?,haven_labelled
2021,hhold,q0902,9.02 Танайх өөрийн эзэмшлийн хэдэн сууцтай вэ?,numeric
2021,hhold,q0903,9.03 Одоо амьдарч байгаа сууц тань танай үндсэн сууц мөн үү?,haven_labelled
2021,hhold,q0904,9.04 ТУХАЙН ӨРХИЙН СУУЦНЫ ТӨРӨЛ.,haven_labelled
2021,hhold,q0905,9.05 Танай сууц хэдэн өрөөтэй вэ?,numeric
2021,hhold,q0906,9.06 Танай өрхийн сууцны ханын гаднах материал юу вэ?,haven_labelled
2021,hhold,q0907,9.07 Танай өрхийн сууцны дээврийн хучилтын материал юу вэ?,haven_labelled
2021,hhold,q0908,9.08 Танай өрхийн сууцны шалны материал юу вэ?,haven_labelled
2021,hhold,q0909,9.09 Танай сууцны хүн амьдрах талбайн хэмжээ хэд вэ?,numeric
2021,hhold,q0910,9.10 Танай сууцны нийт талбайн хэмжээ хэд вэ?,numeric
2021,hhold,q0911,9.11 Танай өрхийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,numeric
2021,hhold,q0912,9.12 Танай гэр хэдэн ханатай вэ?,numeric
2021,hhold,q0913,"9.13 Танай гэрийн дээвэр дан уу, давхар уу?",haven_labelled
2021,hhold,q0914,"9.14 Танай гэрийн дээвэр хүйтний улиралд дан байдаг уу, давхар байдаг уу?",haven_labelled
2021,hhold,q0915,"9.15 Танай гэрийн туурга дан уу, давхар уу?",haven_labelled
2021,hhold,q0916,"9.16 Танай гэрийн туурга хүйтний улиралд дан байдаг уу, давхар байдаг уу?",haven_labelled
2021,hhold,q0917,9.17 Танай гэр ямар шалтай вэ?,haven_labelled
2021,hhold,q0918,9.18 Танай гэр хүйтний улиралд ямар шалтай вэ?,haven_labelled
2021,hhold,q0919,9.19 Танай энэ сууц тань ашиглалтад ороод хэдэн жил болж байна вэ?,numeric
2021,hhold,q0920,9.20 Танайх энэ сууцанд хэр удаан амьдарч байгаа вэ?,numeric
2021,hhold,q0921,9.21 Та энэ сууцныхаа өмчийн хэлбэрийг хэлнэ үү?,haven_labelled
2021,hhold,q0922,9.22 Танай өрх яаж сууцтай болсон бэ?,haven_labelled
2021,hhold,q0923,9.23 Сууцтай болохын тулд зээл авсан уу?,haven_labelled
2021,hhold,q0924,9.24 Хэрэв танай өрх энэ сууцыг хэн нэгнээс түрээсэлж байна гэж бодвол сард хэдэ,numeric
2021,hhold,q0925,9.25 Та сууцаа сард хэдэн төгрөгөөр түрээсэлдэг вэ?,numeric
2021,hhold,q0926,9.26 Танай гэрийн халаалтын үндсэн эх үүсвэр юу вэ?,haven_labelled
2021,hhold,q0927,9.27 Танай өрхийн халаалтандаа ихэвчлэн хэрэглэдэг түлш болон эрчим хүчний эх үү,haven_labelled
2021,hhold,q0928,9.28 Танай сууцны гэрэлтүүлгийн үндсэн эх үүсвэр юу вэ?,haven_labelled
2021,hhold,q0929,9.29 Танайх ундны усаа ихэвчлэн ямар эх үүсвэрээс авдаг вэ?,haven_labelled
2021,hhold,q0930,9.30 Танай усны эх үүсвэр хаана байдаг вэ?,haven_labelled
2021,hhold,q0931,9.31 Гэртээ ус авчрахад хэдэн минут зарцуулдаг вэ?,haven_labelled
2021,hhold,q0932,9.32 Танайх усаа хэр холоос авдаг вэ?,haven_labelled
2021,hhold,q0933,9.33 Танайх унд болон ахуйн хэрэглээндээ хоногт хэдэн литр ус хэрэглэдэг вэ?,numeric
2021,hhold,q0934,9.34 Танайх ямар бие засах газар ашигладаг вэ?,haven_labelled
2021,hhold,q0935,9.35 Танайх бие засах газраа бусадтай хамтарч ашигладаг уу?,haven_labelled
2021,hhold,q0936,9.36 Бие засах газар чинь хаана байдаг вэ?,haven_labelled
2021,hhold,q0937,9.37 Танайх ахуйн бохир усаа яаж зайлуулдаг вэ?,haven_labelled
2021,hhold,q0938,"9.38 Танайх хатуу хог, хаягдлаа яаж зайлуулдаг вэ?",haven_labelled
2021,hhold,q1001,10.01 Танайх харилцуур утастай юу?,haven_labelled
2021,hhold,q1002,10.02 Танайх гэртээ интернеттэй юу?,haven_labelled
2021,hhold,q1003,10.03 Танай өрхийн хэдэн гишүүд интернет ашигладаг вэ?,numeric
2021,hhold,q1004,10.04 Танай өрхийн хэдэн гишүүн гар утсаараа интернет ашигладаг вэ?,numeric
2021,hhold,q1005,"10.05 Танай өрх болон өрхийн хэн нэг гишүүн газар өмчилдөг үү, эзэмшдэг үү?",haven_labelled
2021,hhold,q1006a,Өмчилсөн газар м2,numeric
2021,hhold,q1006b,Эзэмшдэг газар м2,numeric
2021,hhold,q1007a,"A Яаралтай тусламж, үйлчилгээ авах боломжтой эсэх",numeric
2021,hhold,q1007b,Б Амбулаторийн үйлчилгээ авах боломжтой эсэх,numeric
2021,hhold,q1007c,В Эмнэлэгт хэвтэн эмчлүүлэх боломжтой эсэх,numeric
2021,hhold,q1007d,Г Эмчид үзүүлэх боломжтой эсэх,numeric
2021,hhold,q1007e,Д Шинжилгээний лаборатори байгаа эсэх,numeric
2021,hhold,q1007f,Е Рентген шинжилгээний үйлчилгээ байгаа эсэх,numeric
2021,hhold,q1007g,Ё Эрүүл мэндийн урьдчилан сэргийлэх үйлчилгээгээр хангагдах боломжтой эсэх,numeric
2021,hhold,q1008,"10.08 Та болон танай өрхийн гишүүдэд архи, согтууруулах ундаа ууж үзсэн хүн байд",haven_labelled
2021,hhold,q1009,10.09 Та болон танай өрхийн хэн нэгэн гишүүн сүүлийн 30 хоногийн согтууруулах ун,haven_labelled
2021,hhold,q1010a,А Өдрийн цагаар,haven_labelled
2021,hhold,q1010b,Б Оройн цагаар,haven_labelled
2021,hhold,q1011,"10.11 Таны амьдарч буй орчинд гэмт хэрэг/ дээрэм эсвэл хүчирхийлэл, халдлага хэр",haven_labelled
2021,hhold,q1012,"10.12 Сүүлийн 30 хоногт танай гэр бүлийн хэн нэг гишүүн ажиллаж, амьдарч буй орч",haven_labelled
2021,hhold,q1013a,A Үер,numeric
2021,hhold,q1013b,Б Ган гачиг,numeric
2021,hhold,q1013c,В Зуд,numeric
2021,hhold,q1013d,Г Газар хөдлөлт,numeric
2021,hhold,q1013e,Д Бичил уурхайн осол,numeric
2021,hhold,q1013f,Е Усны осол,numeric
2021,hhold,q1013g,Ё Тээврийн хэрэгслийн осол,numeric
2021,hhold,q1013h,Ж Гал түймэр,numeric
2021,hhold,q1013i,З Гоц халдварт өвчин (хүний),numeric
2021,hhold,q1013j,Л Гоц халдварт өвчин (малын),numeric
2021,hhold,visitor,Хоносон зочины тоо,numeric
2021,hhold,ndays,Хоносон өдрийн тоо-хүн/өдөр,numeric
2022,hhold,identif,group(identif),numeric
2022,hhold,hh_no,12. Өрхийн дугаар,numeric
2022,hhold,h15,15. Өрхийн түүврийн сонголт,haven_labelled
2022,hhold,cover_visit_count,Очсон удаа,haven_labelled
2022,hhold,v1_dd,Өдөр,numeric
2022,hhold,v1_mm,Сар,numeric
2022,hhold,v1_yy,Он,numeric
2022,hhold,v1_res,Үр дүн,haven_labelled
2022,hhold,v2_dd,Өдөр,numeric
2022,hhold,v2_mm,Сар,numeric
2022,hhold,v2_yy,Он,numeric
2022,hhold,v2_res,Үр дүн,haven_labelled
2022,hhold,v3_dd,Өдөр,numeric
2022,hhold,v3_mm,Сар,numeric
2022,hhold,v3_yy,Он,numeric
2022,hhold,v3_res,Үр дүн,haven_labelled
2022,hhold,q0547,"5.47 Сүүлийн 12 сард танай өрхийн гишүүд хувь хүн, хамаатан, найз нөхөд болон ту",haven_labelled
2022,hhold,q0601,6.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлсэн үү?/ Танай өрх малтай юу?,haven_labelled
2022,hhold,q0607,"6.07 Сүүлийн 12 сард танай өрх ноос, ноолуур, арьс, шир, сүү болон бусад бүтээгд",haven_labelled
2022,hhold,q0615,6.15 Та болон танай өрхийн гишүүдээс хэн нэг нь сүүлийн 12 сард тариалан эрхлэх,haven_labelled
2022,hhold,q0616,6.16 Таны болон танай өрхийн тариалан эрхлэх газрын талбайн хэмжээ,numeric
2022,hhold,q0617,"6.17 Танайх сүүлийн 12 сард үр тариа, хүнсний ногоо, жимс тариалсан уу?",haven_labelled
2022,hhold,q0618,6.18 Сүүлийн 12 сард танай өрхийн гишүүдийн тариалсан газрын нийт хэмжээ,numeric
2022,hhold,q0701,"7.01 Сүүлийн 12 сард ХАА-н бус үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн үү?",haven_labelled
2022,hhold,q0702,"7.02 Хэдэн төрлийн үйлдвэрлэл, худалдаа, үйлчилгээ эрхэлсэн бэ?",numeric
2022,hhold,q0801,8.01 Та болон танай өрхийн гишүүд хадгаламжтай юу?,haven_labelled
2022,hhold,q0802,8.02 Сүүлийн 12 сард хадгаламжиндаа хэдэн төгрөг хийсэн бэ?,numeric
2022,hhold,q0803,8.03 Сүүлийн 12 сарын хугацаанд та болон танай өрхийн аль нэг гишүүн зээл авах з,haven_labelled
2022,hhold,q0804,8.04 Зээл авах шаардлага хангаагүйгээс зээлээ авч чадаагүй тохиолдол гарсан уу?,haven_labelled
2022,hhold,q0805,8.05 Нийт хэдэн тохиолдол гарсан бэ?,numeric
2022,hhold,q0806,8.06 Сүүлийн 12 сард танай өрх болон өрхийн гишүүдээс ямар нэг төрлийн зээл авса,haven_labelled
2022,hhold,q0807,8.07 Танай өрх сүүлийн 12 сард нийт хэдэн зээл төлсөн бэ?,numeric
2022,hhold,q0901,9.01 Танайх өөрийн эзэмшлийн сууцтай юу?,haven_labelled
2022,hhold,q0902,9.02 Танайх өөрийн эзэмшлийн хэдэн сууцтай вэ?,numeric
2022,hhold,q0903,9.03 Одоо амьдарч байгаа сууц тань танай үндсэн сууц мөн үү?,haven_labelled
2022,hhold,q0904,9.04 ТУХАЙН ӨРХИЙН СУУЦНЫ ТӨРӨЛ.,haven_labelled
2022,hhold,q0905,9.05 Танай сууц хэдэн өрөөтэй вэ?,numeric
2022,hhold,q0906a,9.06a Танай өрхийн сууцны ханын үндсэн материал юу вэ?,haven_labelled
2022,hhold,q0906b,"9.06б Танай өрхийн сууцны ханын гадна өнгөлгөө, фасадны материал юу вэ?",haven_labelled
2022,hhold,q0907,9.07 Танай өрхийн сууцны дээврийн хучилтын материал юу вэ?,haven_labelled
2022,hhold,q0908a,9.08a Танай өрхийн сууцны шалны үндсэн материал юу вэ?,haven_labelled
2022,hhold,q0908b,9.08б Танай өрхийн сууцны шалны хучилтын материал юу вэ?,haven_labelled
2022,hhold,q0909,9.09 Танай сууцны хүн амьдрах талбайн хэмжээ хэд вэ?,numeric
2022,hhold,q0910,9.10 Танай сууцны нийт талбайн хэмжээ хэд вэ?,numeric
2022,hhold,q0911,9.11 Танай өрхийн амьдарч байгаа сууцны талбайн хэмжээ хэд вэ?,numeric
2022,hhold,q0912,9.12 Танай гэр хэдэн ханатай вэ?,numeric
2022,hhold,q0913,"9.13 Танай гэрийн дээвэр дан уу, давхар уу?",haven_labelled
2022,hhold,q0914,"9.14 Танай гэрийн дээвэр хүйтний улиралд дан байдаг уу, давхар байдаг уу?",haven_labelled
2022,hhold,q0915,"9.15 Танай гэрийн туурга дан уу, давхар уу?",haven_labelled
2022,hhold,q0916,"9.16 Танай гэрийн туурга хүйтний улиралд дан байдаг уу, давхар байдаг уу?",haven_labelled
2022,hhold,q0917,9.17 Танай гэр ямар шалтай вэ?,haven_labelled
2022,hhold,q0918,9.18 Танай гэр хүйтний улиралд ямар шалтай вэ?,haven_labelled
2022,hhold,q0919,9.19 Танай энэ сууц тань ашиглалтад ороод хэдэн жил болж байна вэ?,numeric
2022,hhold,q0920,9.20 Танайх энэ сууцанд хэр удаан амьдарч байгаа вэ?,numeric
2022,hhold,q0921,9.21 Та энэ сууцныхаа өмчийн хэлбэрийг хэлнэ үү?,haven_labelled
2022,hhold,q0922,9.22 Танай өрх яаж сууцтай болсон бэ?,haven_labelled
2022,hhold,q0923,9.23 Сууцтай болохын тулд зээл авсан уу?,haven_labelled
2022,hhold,q0924,9.24 Хэрэв танай өрх энэ сууцыг хэн нэгнээс түрээсэлж байна гэж бодвол сард хэдэ,numeric
2022,hhold,q0925,9.25 Та сууцаа сард хэдэн төгрөгөөр түрээсэлдэг вэ?,numeric
2022,hhold,q0926,9.26 Танай гэрийн халаалтын үндсэн эх үүсвэр юу вэ?,haven_labelled
2022,hhold,q0927,9.27 Танай өрхийн халаалтандаа ихэвчлэн хэрэглэдэг түлш болон эрчим хүчний эх үү,haven_labelled
2022,hhold,q0928,9.28 Танай сууцны гэрэлтүүлгийн үндсэн эх үүсвэр юу вэ?,haven_labelled
2022,hhold,q0929,9.29 Танайх ундны усаа ихэвчлэн ямар эх үүсвэрээс авдаг вэ?,haven_labelled
2022,hhold,q0930,9.30 Танай усны эх үүсвэр хаана байдаг вэ?,haven_labelled
2022,hhold,q0931,9.31 Гэртээ ус авчрахад хэдэн минут зарцуулдаг вэ?,haven_labelled
2022,hhold,q0932,9.32 Танайх усаа хэр холоос авдаг вэ?,haven_labelled
2022,hhold,q0933,9.33 Танайх унд болон ахуйн хэрэглээндээ хоногт хэдэн литр ус хэрэглэдэг вэ?,numeric
2022,hhold,q0934,9.34 Танайх ямар бие засах газар ашигладаг вэ?,haven_labelled
2022,hhold,q0935,9.35 Танайх бие засах газраа бусадтай хамтарч ашигладаг уу?,haven_labelled
2022,hhold,q0936,9.36 Бие засах газар чинь хаана байдаг вэ?,haven_labelled
2022,hhold,q0937,9.37 Танайх ахуйн бохир усаа яаж зайлуулдаг вэ?,haven_labelled
2022,hhold,q0938,"9.38 Танайх хатуу хог, хаягдлаа яаж зайлуулдаг вэ?",haven_labelled
2022,hhold,q0939,"9.39 Танай өрхийн гишүүдийн гар, нүүрээ байнга угаадаг газрыг үзэж болох уу?",haven_labelled
2022,hhold,q0940,9.40 ГАР УГААХ ГАЗАРТ УС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.,haven_labelled
2022,hhold,q0941,"9.41 ГАР УГААХ ГАЗАРТ САВАН, УГААЛГЫН БОДИС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.",haven_labelled
2022,hhold,q0942,"9.42 Танайд гараа угаахдаа хэрэглэдэг саван, угаалгын бодис одоо байна уу?",haven_labelled
2022,hhold,q0943,9.43 Та надад түүнийгээ үзүүлж болох уу?,haven_labelled
2022,hhold,q0944a,"A. Шахмал, шингэн саван",character
2022,hhold,q0944b,B. Ариутгагч/Угаалгын нунтаг (нунтаг/шингэн/шахмал),character
2022,hhold,q1001,10.01 Танайх харилцуур утастай юу?,haven_labelled
2022,hhold,q1002,10.02 Танайх гэртээ интернеттэй юу?,haven_labelled
